"dataset","seed_number","p_0","p_1","train_auc","train_AIC","train_BIC","test_auc"
"ionosphere",1,13,30,0.91014541014541,1962.26997623409,2122.35758168478,0.763565891472868
"ionosphere",1010,15,53,1,138.000000024387,389.046472208415,0.861326442721792
"ionosphere",4,14,42,0.956404706404706,834.873067782343,1042.25928393437,0.738156761412575
"ionosphere",781,16,61,1,156.000000018836,439.791664226868,0.814384151593454
"ionosphere",9990,13,41,1,110.00000013545,310.109506948806,0.798449612403101
"ionosphere",9999,22,104,1,254.000000004767,716.071043010153,0.680447889750215
"ionosphere",81,18,85,1,208.000000010092,586.388885620801,0.761412575366064
"ionosphere",46,16,65,0.986263736263736,524.436533891172,822.781616776539,0.724375538329027
"ionosphere",67,15,40,0.931679431679432,1481.65882878645,1685.40669026914,0.793712316968131
"ionosphere",2,16,64,1,162.00000001458,456.706728230613,0.700258397932817
"ionosphere",3,11,22,0.992118992118992,126.751673590929,250.455732348277,0.869078380706288
"ionosphere",1017,21,106,1,256.000000004768,721.709397679487,0.708871662360034
"Sonar",1,15,41,1,114.000000009639,291.725647317394,0.576190476190476
"Sonar",1010,22,90,1,226.000000001602,578.333300804696,0.666666666666667
"Sonar",4,18,60,1,158.000000004219,404.321511185142,0.686904761904762
"Sonar",781,22,99,1,244.000000001511,624.395245116355,0.575
"Sonar",9990,26,157,1,334.000000000969,854.704966674567,0.65
"Sonar",9999,19,82,1,204.000000001782,522.035368868291,0.616666666666667
"Sonar",81,19,68,1,176.000000002119,450.383455494793,0.828571428571429
"Sonar",46,28,195,1,334.000000000969,854.704966674567,0.582142857142857
"Sonar",67,29,204,1,334.000000000969,854.704966674567,0.475
"Sonar",2,18,78,1,194.000000001796,496.445399806222,0.60952380952381
"Sonar",3,24,137,1,324.000000001055,829.11499761257,0.438095238095238
"Sonar",1017,24,114,1,278.000000001202,711.401139927131,0.635714285714286
